"filename", "language", "JSON", "JSON with Comments", "JavaScript", "HTML", "TypeScript", "Vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\stores\projectStores\projectStore.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 4, 11, 95
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\utils\constants\enum.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\utils\normalizeName.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\AllProject\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 2, 3, 18
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\AllProject\index.vue", "Vue", 0, 0, 0, 0, 0, 227, 0, 0, 2, 29, 258
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Author\index.vue", "Vue", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Filter\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Filter\index.vue", "Vue", 0, 0, 0, 0, 0, 479, 0, 0, 10, 55, 544
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Home\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Home\index.vue", "Vue", 0, 0, 0, 0, 0, 149, 0, 0, 7, 24, 180
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\IssueType\index.vue", "Vue", 0, 0, 0, 0, 0, 18, 0, 0, 2, 3, 23
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Mainpage\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Mainpage\index.vue", "Vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Profile\index.vue", "Vue", 0, 0, 0, 0, 0, 71, 0, 0, 16, 13, 100
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\Project\index.vue", "Vue", 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\waitPage\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\waitPage\index.vue", "Vue", 0, 0, 0, 0, 0, 192, 0, 0, 6, 19, 217
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\waitSharePage\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\views\waitSharePage\index.vue", "Vue", 0, 0, 0, 0, 0, 203, 0, 0, 6, 19, 228
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\tailwind.config.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\tsconfig.json", "JSON with Comments", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\tsconfig.node.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\admin\drive\Documents\GitHub\todo-list-client\vite.config.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
"Total", "-", 4050, 11, 202, 13, 1747, 7651, 606, 507, 518, 1554, 16859
